galaxy,file,M_b,R_scale,s_rho,s_r,rho0_qfst,r_core_qfst,chi2_qfst,chi2red_qfst,rho_s_nfw,r_s_nfw,chi2_nfw,chi2red_nfw,N_points,plot
NGC3741,NGC3741_rotmod.dat,317529102.3415756,3.73,3.1323459050196507,0.32304230880511486,19673378.94089973,1.8961477868721852,12.001377581928727,0.6316514516804593,428332.4117549051,40.6259249824843,9.22730955389966,0.48564787125787684,21,qfst_hybrid_plots\NGC3741_hybrid_compare.png
NGC3769,NGC3769_rotmod.dat,27494500070.447178,3.5,0.5611532692293416,1.264263983000576,4982883.451998424,7.420796867926538,53.215350408793874,5.321535040879388,82893.00410259956,179.2805999425423,62.70950294777065,6.270950294777065,12,qfst_hybrid_plots\NGC3769_hybrid_compare.png
NGC3877,NGC3877_rotmod.dat,97435966075.08447,6.98,0.45754333843430545,0.2677210298177522,4482112.786823654,1.5714308137090678,152.11282835337988,13.828438941216353,0.015934424576698802,0.05000000011584811,146.03390142222074,13.275809220201886,13,qfst_hybrid_plots\NGC3877_hybrid_compare.png
NGC3893,NGC3893_rotmod.dat,71814832514.18005,3.5,0.6488648050598624,1.488276840832012,6207538.592694695,8.735675671817953,94.88621162508252,11.860776453135315,103500.89971267818,199.9999998967071,105.62729933137868,13.203412416422335,10,qfst_hybrid_plots\NGC3893_hybrid_compare.png
NGC3917,NGC3917_rotmod.dat,30479405038.38015,6.11,1.6332997659576207,0.7251900804037996,14619736.670847202,4.256617565375585,18.161470718635215,1.210764714575681,127125.82528044604,199.99999999271844,36.49459626300881,2.4329730842005874,17,qfst_hybrid_plots\NGC3917_hybrid_compare.png
NGC3949,NGC3949_rotmod.dat,43177572189.25383,3.5,0.48545255323444314,0.451576750318328,4464377.645694756,2.6506009658183594,141.09977730757868,28.219955461515735,66.38242030888796,0.05000013001314235,135.4564333909539,27.091286678190777,7,qfst_hybrid_plots\NGC3949_hybrid_compare.png
NGC3953,NGC3953_rotmod.dat,179596828553.15286,8.72,0.5895518985096668,0.3970057420547623,6056021.775717931,2.330287825013145,28.178430330277987,4.696405055046331,4.043791366508231,0.05000004535733567,24.187338403971314,4.031223067328552,8,qfst_hybrid_plots\NGC3953_hybrid_compare.png
NGC3972,NGC3972_rotmod.dat,19147089839.11828,5.24,1.5013860483319283,0.9421062603183604,12962650.927927963,5.529841298833652,9.53816233373609,1.1922702917170112,153589.2224903354,199.99999999999915,13.785613857722845,1.7232017322153557,10,qfst_hybrid_plots\NGC3972_hybrid_compare.png
NGC3992,NGC3992_rotmod.dat,266083117569.55655,13.79,1.1333550716865042,1.3723056245780871,12002809.892789232,8.054964325201846,6.579218969234014,0.9398884241762877,281929.98513191787,132.8086190951834,1.5966842867381945,0.2280977552483135,9,qfst_hybrid_plots\NGC3992_hybrid_compare.png
NGC4010,NGC4010_rotmod.dat,22584478312.967094,5.24,0.567365507444748,1.6031853108067884,4961699.44980301,9.410149061515655,34.38587741370351,3.438587741370351,78707.0156847501,199.99999999998838,48.944833384768195,4.894483338476819,12,qfst_hybrid_plots\NGC4010_hybrid_compare.png
NGC4013,NGC4013_rotmod.dat,85658781862.33801,5.49,0.1890670315304606,4.916903133701265,1833680.1855858676,28.860538514963086,93.75103382289723,2.7573833477322713,107831.14668936557,199.99999999999997,164.5618912736788,4.8400556256964355,36,qfst_hybrid_plots\NGC4013_hybrid_compare.png
NGC4051,NGC4051_rotmod.dat,85377423469.22719,6.98,0.4805463220791449,0.28835318622925243,4659422.943195776,1.6925345101962934,76.3759603406305,15.275192068126099,788.115521216765,0.05000892263434378,70.6371883834573,14.12743767669146,7,qfst_hybrid_plots\NGC4051_hybrid_compare.png
NGC4068,NGC4068_rotmod.dat,490621355.51893556,1.91,0.9366814310114443,1.0454408255626284,6085115.984689001,6.136379829096253,4.991256520862184,1.247814130215546,27071.920555283286,199.99999999990894,9.936094732219903,2.484023683054976,6,qfst_hybrid_plots\NGC4068_hybrid_compare.png
NGC4085,NGC4085_rotmod.dat,28817372420.40801,3.58,0.39990404138580316,0.36064099969919355,3564012.1887189713,2.116839233734979,194.90703216486835,38.98140643297367,8.52677730936557,0.05000001902017372,187.7294441420578,37.545888828411556,7,qfst_hybrid_plots\NGC4085_hybrid_compare.png
NGC4088,NGC4088_rotmod.dat,128652752010.58038,5.24,0.43211238795642753,0.21902768599401154,4325300.028234119,1.2856175514515362,396.76513486899614,39.676513486899616,0.04340434054029174,0.05000000270527566,390.1249171549368,39.01249171549368,12,qfst_hybrid_plots\NGC4088_hybrid_compare.png
NGC4100,NGC4100_rotmod.dat,69034482264.63919,5.24,0.7960025126792222,1.2365749025031947,7591866.765245626,7.258271442387631,22.495180748578427,1.022508215844474,124426.99638122071,199.99999999988938,24.95412462347969,1.1342783919763495,24,qfst_hybrid_plots\NGC4100_hybrid_compare.png
NGC4138,NGC4138_rotmod.dat,47678217459.47469,2.61,0.920373008816208,0.9516838308085899,8529440.775250051,5.58605835955185,13.532273798845605,2.706454759769121,94683.17585836754,199.99999999999375,15.046545704191319,3.0093091408382637,7,qfst_hybrid_plots\NGC4138_hybrid_compare.png
NGC4157,NGC4157_rotmod.dat,121923446471.82127,5.24,0.17578612616382822,2.7387249827144653,1752237.8137502044,16.075378281048856,204.56824372151158,13.637882914767438,129.00343337026425,0.05007721601611653,241.8784443120617,16.125229620804113,17,qfst_hybrid_plots\NGC4157_hybrid_compare.png
NGC4183,NGC4183_rotmod.dat,18262188100.013706,6.98,2.5761118661275537,0.48390801210822276,22160065.30528056,2.8403744066919727,9.661479502685143,0.46007045250881634,3008849.0103441016,14.934184986502487,4.259864026459651,0.20285066792665005,23,qfst_hybrid_plots\NGC4183_hybrid_compare.png
NGC4214,NGC4214_rotmod.dat,1449899234.8549404,1.04,5.0572762309624455,0.48607399460194417,35737316.61230513,2.8530879825918003,18.966681218236673,1.5805567681863895,6580379.46543373,10.499967176847587,8.65196765785803,0.7209973048215025,14,qfst_hybrid_plots\NGC4214_hybrid_compare.png
NGC4217,NGC4217_rotmod.dat,91795162022.41893,3.5,0.37560387571615944,0.29361905252607884,3662437.6000569323,1.7234433430411904,1150.8876001005963,67.69927059415272,0.4807144063524902,0.0500000165524154,1143.2872796316867,67.25219291951099,19,qfst_hybrid_plots\NGC4217_hybrid_compare.png
NGC4389,NGC4389_rotmod.dat,24924918158.00394,3.58,0.3673244317595321,0.26672241850824246,3236990.355972052,1.5655693071111207,487.19576781843597,121.79894195460899,21.00828373618424,0.05000007298557474,479.2146881582104,119.8036720395526,6,qfst_hybrid_plots\NGC4389_hybrid_compare.png
NGC4559,NGC4559_rotmod.dat,33698977456.44789,5.9,0.2514928465605969,2.4370853164835453,2268738.3243813436,14.304856680729106,70.3939428625876,2.3464647620862533,70716.06899559827,199.9999999999929,111.6728738984139,3.72242912994713,32,qfst_hybrid_plots\NGC4559_hybrid_compare.png
NGC5005,NGC5005_rotmod.dat,201047100314.88376,4.42,0.5068879425973433,0.49541042901555904,5252677.849281723,2.9078896570726243,198.16663040855528,12.385414400534705,0.018678563530556858,0.05000000007435796,192.82519678485488,12.05157479905343,18,qfst_hybrid_plots\NGC5005_hybrid_compare.png
NGC5033,NGC5033_rotmod.dat,133471923333.73056,3.8,0.6798149560927109,1.7104205021356071,6824171.40778619,10.039582931849987,180.9095670099613,9.045478350498065,201647.115818314,156.89231859577896,197.2339346281072,9.86169673140536,22,qfst_hybrid_plots\NGC5033_hybrid_compare.png
NGC5055,NGC5055_rotmod.dat,173801479118.82397,5.03,0.11020514769061211,3.9028994858004835,1129175.7014929475,22.908684158921638,785.4203410918502,30.208474657378854,61333.735070354734,199.99999999828708,832.2574182563872,32.009900702168736,28,qfst_hybrid_plots\NGC5055_hybrid_compare.png
NGC5371,NGC5371_rotmod.dat,382694067101.20605,11.55,0.46482883924566903,0.24392357558994832,5063623.963119568,1.4317479024082391,186.94412325900802,10.996713132882824,78.69820200302638,0.050035931388455634,180.9486732786721,10.64403960462777,19,qfst_hybrid_plots\NGC5371_hybrid_compare.png
NGC5585,NGC5585_rotmod.dat,5788614066.457036,4.11,0.8198895646512142,1.3677338654909303,6451042.669138531,8.02812966410952,144.66423503937318,6.575647047244235,87084.89043058317,199.9999999994714,292.7041234835129,13.304732885614222,24,qfst_hybrid_plots\NGC5585_hybrid_compare.png
NGC5907,NGC5907_rotmod.dat,232783235321.46304,10.07,0.49234236836488426,1.8156025543959977,5160323.962550663,10.656965578568807,21.94038775909384,1.290611044652579,120961.21296236006,199.99999999999997,13.371791884488777,0.7865759932052222,19,qfst_hybrid_plots\NGC5907_hybrid_compare.png
